appid,name,developer,publisher,genres,tags,genre_count,tag_count,price,initial_price,discount,is_free,positive,negative,total_reviews,review_score_pct,target,owners,owners_min,owners_max,owners_midpoint,average_forever,median_forever,average_2weeks,ccu
730,Counter-Strike: Global Offensive,Valve,Valve,"Action, Free To Play",FPS;Shooter;Multiplayer;Competitive;Action;Team-Based;e-sports;Tactical;First-Person;PvP;Online Co-Op;Co-op;Strategy;Military;War;Difficult;Trading;Realistic;Fast-Paced;Moddable,2,20,0.0,0.0,0.0,1,7642084,1173003,8815087,0.8669,1,"100,000,000 .. 200,000,000",100000000,200000000,150000000,0,0,0,1013936
1172470,Apex Legends,Respawn,Electronic Arts,"Action, Adventure, Free To Play",Free to Play;Battle Royale;Multiplayer;FPS;Shooter;First-Person;PvP;Action;Hero Shooter;Team-Based;Tactical;Sci-fi;Loot;Survival;Co-op;Character Customization;Funny;Lore-Rich;Cyberpunk;Cinematic,3,20,0.0,0.0,0.0,1,668053,326926,994979,0.6714,0,"100,000,000 .. 200,000,000",100000000,200000000,150000000,0,0,0,124262
578080,PUBG: BATTLEGROUNDS,PUBG Corporation,"KRAFTON, Inc.","Action, Adventure, Massively Multiplayer, Free To Play",Survival;Shooter;Battle Royale;Multiplayer;FPS;PvP;Third-Person Shooter;Action;Online Co-Op;Tactical;Co-op;First-Person;Strategy;Early Access;Competitive;Third Person;Team-Based;Difficult;Simulation;Stealth,4,20,0.0,0.0,0.0,1,1520457,1037487,2557944,0.5944,0,"100,000,000 .. 200,000,000",100000000,200000000,150000000,0,0,0,314682
1623730,Palworld,Pocketpair,Pocketpair,"Action, Adventure, Indie, RPG",Open World;Survival;Creature Collector;Multiplayer;Open World Survival Craft;Online Co-Op;Crafting;Co-op;Adventure;Base-Building;Sandbox;Building;Third-Person Shooter;Automation;Action;RPG;Anime;Early Access;Exploration;Farming,4,20,29.99,29.99,0.0,0,358266,22443,380709,0.941,1,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,18028
440,Team Fortress 2,Valve,Valve,"Action, Free To Play",Free to Play;Hero Shooter;Multiplayer;FPS;Shooter;Action;Class-Based;Team-Based;Funny;First-Person;Online Co-Op;Competitive;Cartoony;Trading;Co-op;Comedy;Robots;Tactical;Cartoon;Crafting,2,20,0.0,0.0,0.0,1,1044264,117208,1161472,0.8991,1,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,43819
1938090,Call of Duty: Modern Warfare II,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision,Action,FPS;Multiplayer;Shooter;Singleplayer;Action;Military;First-Person;War;Modern;Tactical;Violent;Co-op;Realistic;Story Rich;Atmospheric;Mature;Online Co-Op;Gore;Third-Person Shooter;Third Person,1,20,38.49,69.99,45.0,0,419594,294520,714114,0.5876,0,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,67419
1063730,New World: Aeternum,Amazon Games,Amazon Games,"Action, Adventure, Massively Multiplayer, RPG",Open World;Massively Multiplayer;MMORPG;RPG;Adventure;Action;PvP;PvE;Multiplayer;Fantasy;Character Customization;Walking Simulator;Crafting;Third Person;Co-op;Open World Survival Craft;Sandbox;Violent;Sexual Content;Singleplayer,4,20,59.99,59.99,0.0,0,196798,90080,286878,0.686,0,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,5583
2358720,Black Myth: Wukong,Game Science,Game Science,"Action, Adventure, RPG",Mythology;Action RPG;Action;Souls-like;RPG;Combat;Story Rich;Singleplayer;Action-Adventure;Drama;Dark Fantasy;Atmospheric;Adventure;3D;Fantasy;Hack and Slash;Difficult;Third Person;Music;Violent,3,20,59.99,59.99,0.0,0,1111720,38378,1150098,0.9666,1,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,15004
271590,Grand Theft Auto V Legacy,Rockstar North,Rockstar Games,"Action, Adventure",Open World;Action;Multiplayer;Crime;Automobile Sim;Third Person;First-Person;Mature;Shooter;Adventure;Singleplayer;Third-Person Shooter;Racing;Co-op;Sandbox;Atmospheric;Funny;Great Soundtrack;Comedy;Moddable,2,20,0.0,0.0,0.0,1,1739980,250576,1990556,0.8741,1,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,67851
550,Left 4 Dead 2,Valve,Valve,Action,Zombies;Co-op;FPS;Multiplayer;Shooter;Online Co-Op;Action;Survival;Horror;First-Person;Gore;Team-Based;Moddable;Survival Horror;Post-apocalyptic;Singleplayer;Adventure;Local Co-Op;Replay Value;Tactical,1,20,9.99,9.99,0.0,0,940221,23762,963983,0.9754,1,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,25122
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,"Action, Adventure, Casual, Indie, Free To Play",Free to Play;Survival;Zombies;Multiplayer;Open World;Co-op;Sandbox;Crafting;Shooter;Adventure;Post-apocalyptic;First-Person;Singleplayer;Looter Shooter;FPS;Action;Massively Multiplayer;Indie;Atmospheric;Casual,5,20,0.0,0.0,0.0,1,506516,48852,555368,0.912,1,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,10408
1599340,Lost Ark,Smilegate RPG,Amazon Games,"Action, Adventure, Massively Multiplayer, RPG, Free To Play",MMORPG;Free to Play;Action RPG;Multiplayer;Hack and Slash;Character Customization;RPG;Massively Multiplayer;Action;Sexual Content;Adventure;PvE;Fantasy;PvP;Isometric;Online Co-Op;Class-Based;Singleplayer;Violent;Gore,5,20,0.0,0.0,0.0,1,143481,58540,202021,0.7102,1,"50,000,000 .. 100,000,000",50000000,100000000,75000000,0,0,0,17355
236390,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,"Action, Massively Multiplayer, Simulation, Free To Play",Free to Play;Simulation;Vehicular Combat;Combat;World War II;Flight;VR;War;Military;Tanks;Multiplayer;Naval Combat;Modern;Massively Multiplayer;Cold War;Realistic;Shooter;Action;Third Person;Third-Person Shooter,4,20,0.0,0.0,0.0,1,484469,272617,757086,0.6399,0,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,50478
2246340,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Action, Adventure, RPG",Hunting;Action;Multiplayer;Online Co-Op;Co-op;Dating Sim;Character Customization;Dragons;Open World;Third Person;Action RPG;Adventure;Fantasy;Cute;RPG;Singleplayer;Atmospheric;Great Soundtrack;Underwater;Souls-like,3,20,29.99,39.99,25.0,0,127273,91142,218415,0.5827,0,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,12494
553850,HELLDIVERS 2,Arrowhead Game Studios,PlayStation Publishing LLC,Action,Online Co-Op;PvE;Third-Person Shooter;Multiplayer;Action;Shooter;Co-op;Sci-fi;Capitalism;Space;Extraction Shooter;Third Person;Comedy;Gore;Violent;Great Soundtrack;Difficult;Psychological Horror;Singleplayer;Open World,1,20,39.99,39.99,0.0,0,775883,241752,1017635,0.7624,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,53399
230410,Warframe,Digital Extremes,Digital Extremes,"Action, RPG, Free To Play",Free to Play;Action RPG;Looter Shooter;Third-Person Shooter;Action;RPG;Third Person;Character Customization;Massively Multiplayer;Online Co-Op;Co-op;PvE;Sci-fi;Singleplayer;Space;Shooter;Lore-Rich;Hack and Slash;Parkour;Ninja,3,20,0.0,0.0,0.0,1,545393,81110,626503,0.8705,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,36195
